,Title,Categories,Status,Views,Comments,Follows,Introduction,Last Update,Latest Chapter
183,Boukensha Ni Naritai To Miyako Ni Deteitta Musume Ga S Rank Ni Nattet,"Action, Adventure, Comedy, Fantasy",Đang tiến hành,706943,544,9712,"Sau khi mất chân lúc còn là một tân mạo hiểm gia, ông đã nghỉ hưu, trở về quê hương của mình ở nông thôn. Làm những việc như thu thập dược thảo, tiêu diệt ma thú và dã thú, giúp đỡ công việc đồng án của dân làng, thật khó để quyết định nên gọi nhân vật chính của chúng ta là một nhà mạo hiểm hay một người tháo vác nữa. Và cứ làm như thế cho đến khi ông gần 30 tuổi. Một ngày nọ, trong khi lên núi để tìm thảo dược, anh phát hiện ra một đứa trẻ bị bỏ rơi. Tự nhủ bản thân không thể bỏ mặc đứa bé, anh mang nó về nhà và nuôi nấng nó cho đến tuổi bốn mươi. Đứa con gái trưởng thành của anh giờ cũng muốn trở thành một mạo hiểm giả, nhờ dõi theo cha mình từ nhỏ đến giờ. Mặc dù cha cô đã dạy cô kiếm thuật để tự vệ khi còn nhỏ, nhưng tài năng của cô quả thật rất ấn tượng. Nghĩ rằng sẽ tốt hơn nếu cô ấy không bị mắc kẹt ở làng quê này trong suốt quãng đời còn lại của mình, nhân vật chính của chúng ta đã gửi cô ấy đến hội mạo hiểm giả ở thủ đô. Con gái ông chính thức trở thành một mạo hiểm giả. Sau năm năm, nhân vật chính, hiện nay ở tuổi bốn mươi, vẫn đóng vai trò là một cựu mạo hiểm giả ở vùng nông thôn. Tuy nhiên, con gái của anh bây giờ là một mạo hiểm giả hạng S nổi tiếng và vẫn chưa trở về nhà được một lần nào… “Khi nào tôi mới được gặp lại cha đây… !?”",13/08//2021,Chapter 17
184,Diệt Ma Thần Kỷ,"Action, Adventure, Fantasy, Manhua, Supernatural, Truyện Màu, Webtoon",Đang tiến hành,4232,58,946,"Kình Thiên Nghĩa - một Diệt Ma Sư hám tiền trẻ tuổi, một ngày nọ anh ta vô tình cứu được một cô gái bí ẩn có tên Mục Huyên Huyên, cũng là người thừa kế của một trong tứ đại diệt ma thần khí! Đối mặt với những Diệt ma sư ngông cuồng thao túng sức mạnh của yêu ma để thống trị thiên hạ và lũ yêu ma hung hăng ngang ngược. Kình Thiên Nghĩa và Mục Huyên Huyên đã cùng nhau lên đường để tập hợp những người thừa kế của tứ đại thần khí. Cuộc chiến sứ mệnh trừ ma vệ đạo đầy cam go và bi tráng đã bắt đầu!",13/08//2021,Chapter 2
185,Tu Chân Tứ Vạn Niên,"Action, Adventure, Fantasy, Manhua, Romance, Truyện Màu",Đang tiến hành,22707717,2879,26543,,12/08//2021,Chapter 300
186,Guardian of the Witch,"Action, Adventure, Comedy, Drama, Fantasy, Manga, Shounen",Đang tiến hành,32639,26,785,"Trong thế giới ngập tràn ác quỷ, hy vọng duy nhất của nhân loại chính là những phù thuỷ. Thành Berne là một trong những tiền tuyến chống lại ác quỷ và được bảo hộ bởi phù thuỷ Manasfa và hiệp sĩ mạnh nhất vương quốc Fafner. Nhưng định mệnh trái ngang gì đang chờ đợi cả hai người, khi Fafner được lệnh phải hạ sát Manasfa trước khi cô bị quỷ chiếm giữ hoàn toàn?",12/08//2021,Chapter 9
187,Hiệp sỹ công chúa là nàng dâu tộc Man Di,"Comedy, Ecchi, Fantasy, Manga, Romance, Shounen",Đang tiến hành,33475,95,1826,"Nữ hiệp sỹ quân chinh phạt phía Đông tỉnh dậy nơi nhà ngục tăm tối, có điều gì đang chờ đón cô?",12/08//2021,Chapter 3
188,"Những đóa sơn trà kia, sẽ vì em mà đơm hoa khoe sắc","Manga, Romance, Slice of Life",Hoàn thành,2552738,673,6356,"Trên ngọn đồi ấy…Ngôi nhà ấy sẽ là chốn dừng chân cho em…Những đóa sơn trà kia, sẽ vì em mà đơm hoa khoe sắc….",12/08//2021,Chapter 77.1
189,Kanzen Kaihi Healer No Kiseki,"Action, Adventure, Comedy, Fantasy",Đang tiến hành,1125128,741,14065,Bạn sẽ làm gì khi bỗng dưng một ngày đẹp trời bị triệu tập ngẫu nhiên vào thế giới RPG và được phó thác nhiệm vụ đánh bại quỷ vương? Liệu 1 người chơi support có thể gank tem?,12/08//2021,Chapter 21
190,Cuộc báo thù: Sáu kẻ vác trên mình cây thập tự giá,"Action, Drama, Horror, Manga, Psychological, Tragedy",Đang tiến hành,563833,381,3445,"Shun Urushima, một học sinh lớp sáu trường tiểu học, đã bị năm bạn cùng lớp bắt nạt.Bị coi là ''thí nghiệm A"", và cậu ấy đã phải trải qua những ngày tháng bị bắt nạt khủng khiếp. Shun như vậy cũng có sự cứu rỗi,Một đứa em trai dễ thương và yêu cậu.và một chú mèo nhỏ bị bỏ rơi được cậu nuôi nấng.Cha mẹ xúc tiến thủ tục chuyển trường, nhưng trong thời gian đó, năm người giả vờ gây tai nạn và giết gia đình Shun. Sau đó, Shun, với lòng căm thù tột cùng, được đào tạo bởi ông nội của mình,cậu thề sẽ giết hết tất cả năm kẻ thủ ác đó. Bộ manga với sự hồi hộp, tuyệt vọng và hiểm độc,cuộc trả thù đầy tàn nhẫn và dã man,bị bắt nạt cực độ dẫn đến trả thù cực độ!!",31/07//2021,Chapter 35
191,Xe Bán Thức Ăn Điên Loạn,"Action, Comedy, Cooking, Ecchi, Manga, Seinen",Đang tiến hành,98574,66,1922,"Gordon là một ông chú trung niên ngại giao tiếp, chủ một xe tải bán đồ ăn giữa sa mạc. Và bỗng 1 ngày đẹp zời, ông chú gặp 1 cô gái trẻ khoả thân giữa cái thế giới toàn cát đó. Tuy nhiên không như những ông chú trong 2ten, Gordon đã cho cô gái ăn bánh mỳ chứ ko phải mỗi xúc xích thịt gân. Và trong khi cô gái ăn ngấu nghiến, một đám lính vũ trang đang đi lùng sục cô. Mọi rắc rối của Gordon cùng cô gái tên Arisa bí ẩn bắt đầu từ đây",11/08//2021,Chapter 7
192,Đấu Giả Và Pháp Khí Tại Dị Giới,"Action, Adventure, Comedy, Fantasy, Harem, Mecha, Romance, Shounen",Đang tiến hành,1224808,400,7981,"Một tay Otaku mê Mecha được đầu thai vào một thế giới khác với cái tên Ernesti Echevalier (Eru). Ở đây tồn tại những cỗ máy to lớn mang hình dáng con người gọi là ""Ám Hiệp Sĩ"". Mơ tưởng trở thành người điều khiển những con Robot đó, Eru cùng hai người bạn thời thơ ấu của mình: Archid và Adeltrud Olter nhắm đến mục tiêu trở thành Hiệp Sĩ Vận Hành, phi công của những cỗ máy ""Ám Hiệp Sĩ""",11/08//2021,Chapter 51
193,Urasekai Picnic,"Action, Adventure, Fantasy, Horror, Manga, Mystery, Sci-fi, Soft Yuri",Đang tiến hành,39692,21,865,"Một ngày nọ, Sorawo vô tình mở ra ""cánh cửa"" dẫn đến thế giới của những tồn tại dị thường. Cô gặp gỡ Toriko, một cô gái bí ẩn đang trên đường tìm kiếm người bạn mất tích. Cùng nhau, hai người họ khám phá những bí mật đáng sợ của ""thế giới bên kia""....",11/08//2021,Chapter 10
194,Thần chết muốn được yêu,"Adventure, Comedy, Ecchi, Manga, Romance, School Life, Seinen, Supernatural",Đang tiến hành,125297,329,4176,"Touya , một chàng trai có gương mặt đáng sợ bị hoa khôi của trường Inami-san theo đuổi, nhưng có điều bí mật gì đó về cô ấy...!!",11/08//2021,Chapter 6
195,Mộ Thành Ngụy Sự,"Adventure, Horror, Magical, Trinh Thám, Truyện Màu",Đang tiến hành,43600,32,735,"Tần Lê kinh doanh việc mua bán đồ cổ, tình cờ quen biết với người bí ẩn Vân Minh Lạc, trong một lần trải nghiệm, họ phát hiện ra bản đồ kho báu trên tấm da dê, theo bản đồ chỉ dẫn, bắt đầu chuyến hành trình đầy ly kỳ và bí ẩn!",11/08//2021,Chapter 9
196,Samayoeru Tensei-sha-tachi no Revival Game,"Action, Fantasy, Gender Bender, Horror, Manga, Shounen",Đang tiến hành,291636,343,4151,"Thanh niên Asai Manatsu 28 tuổi tiếp tục dùng cu để dái sau khi cầu hôn không thành công, Lúc sau bỗng có một gã kị sĩ và 1 cô gái xuất hiện, vì nổi máu anh hùng cứu cô ta mà thanh niên bị chết. Sau khi tỉnh lại, anh thấy mình bị đưa đến dị giới và phát hiện mình thành cô gái đó, liền sau đó anh bị một con sói hiếp dâm tại chỗ... Chú ý: có xúc tu  và máu me, cả cheat nữaLiệu đây có trở thành siêu phẩm mới không?",11/08//2021,Chapter 10
197,Gourmet Fighter,"Cooking, Manga, Seinen, Slice of Life, Sports",Đang tiến hành,12567,15,265,"Ohara Mantaro, vốn ban đầu chỉ là một nhân viên làm công ăn lương bình thường với niềm đam mê ăn uống cùng cái lưỡi sành ăn của mình. Với Mantaro, ăn uống giống như một niềm vui thú hơn là việc phải đem nó ra để cạnh tranh hơn thua. Cho đến khi anh gặp được George Hunter tại một tiệm ăn bình dân, một vận động viên thi ăn chuyên nghiệp, người đã dần thay đổi quan niệm của anh về khái niệm ""thi ăn""...
Cũng như việc George Hunter đã để mắt đến ""chú ngựa ô"" mà anh đã tình cờ gặp được.",10/08//2021,Chapter 2
198,Thông Thiên Chi Lộ,"Action, Adventure, Manhua, Mystery, Truyện Màu, Xuyên Không",Đang tiến hành,2228954,380,11667,,10/08//2021,Chapter 85
199,Dolo Mệnh Vận Giao Nang,"Drama, Fantasy, Manhua, Ngôn Tình, Shoujo, Truyện Màu",Đang tiến hành,2098326,1744,12836,"Không phải là nó khá đủ và không đủ thông minh để thực sự là người dưới cùng? Nếu có một viên nang mà sẽ cho phép bạn để chống lại số phận, bạn có sẵn sàng trả những điều quý giá nhất để trao đổi nó?",10/08//2021,Chapter 51.3
200,Thái Tử Điện Hạ Có Tin Vui,"Cổ Đại, Drama, Manhua, Truyện Màu",Đang tiến hành,1835884,263,7065,,10/08//2021,Chapter 146
201,Phản Diện Rất Dễ Làm,"Cổ Đại, Comedy, Magical, Manhwa, Ngôn Tình, Truyện Màu",Đang tiến hành,1140463,455,17481,"Tôi nhập vào cơ thể của Niviea Herbert, 1 trong số những con gái của Chúa trong vương quốc, người bị xem như một vật hiến tế. Cô ấy đã hy sinh bản thân vì là con gái lớn của gia đình, đánh mất vị hôn phu vào tay đối thủ, và hiến mạng sống của tôi như một tín đồ cho vương quốc khi tai họa xảy ra. Chết chẳng ích gì. Đéo hy sinh. Phá hủy deathflag của cô ấy và nắm lấy cây cung sẽ thay đổi số phận của cô ấy để chiến đấu với Chúa trời, trùm cuối! Vậy những hành động tôi đang thực hiện để cứu mạng mình là xấu xa? Cô nhếch khóe miệng cười. Nếu đúng như vậy, tôi rất vui khi được trở thành một nhân vật phản diện!",10/08//2021,Chapter 30
202,Thiết Lập Nhân Vật Daddy của Tôi Bị Sụp Đổ,"Manhua, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,3399819,1094,20759,"#Melody Happy Group #MH Channel #Nettruyen.com
ND: Để kiếm tiền sữa bột, Thời Sơ Hạ đắc tội siêu sao thiên vương Lục tiên sinh, Lục tiên sinh cao cao tại thượng hạ lệnh: “Vứt ra ngoài, cho chó ăn”. Sau đó, mọi người đồn đãi: Lục tiên sinh cưng chiều bà Lục lên trời, nâng trong tay sợ vỡ, ngậm trong miệng sợ tan. “Ngày tháng như vậy không thể sống được nữa, tôi muốn ly hôn!”. Thời Sơ Hạ chống nạnh. “Mami, chúng ta sẽ chơi trò bỏ nhà ra đi phải không?” Một bánh bao sữa nhỏ nhắn vui vẻ kéo hành lý.",10/08//2021,Chapter 117
203,Vị Cứu Tinh Của Nhân Vật Phản Diện,"Action, Cổ Đại, Comedy, Drama, Fantasy, Manhwa, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,3411941,414,19003,,10/08//2021,Chapter 50.3
204,Trọng sinh bá sủng Nhiếp Chính Vương quá mạnh mẽ,"Chuyển Sinh, Cổ Đại, Comedy, Manhua, Romance, Truyện Màu",Đang tiến hành,11917883,4244,28832,"Thiếu nữ hiện đại xuyên không về cổ đại, ngoài ra còn có tùy thân không gian từ đây mở ra con đường trang bức*. Ngươi tưởng rằng là tiết tấu bàn tay vàng? Không! Ôm sai đùi lớn phải chết thảm! Không sao, may mắn ông trời lại cho ta thêm một cơ hội trùng sinh. Hoàng quyền giận giữ, ác chỉnh hắc liên (là hành vi chơi xấu, trả đũa những người giả vờ thánh nữ), tranh bá hậu cung. Song gặp lại nam nhân chém chết mình kiếp trước. Ở kiếp này hắn ta vậy mà lại biến thành tỷ khống “tiểu nải cẩu” hay dính người? Trời ơi! Khác biệt lớn như vậy mình có chút không trụ nổi! ""Tiểu nải cẩu"": cách gọi những chàng trai có ngoại hình đẹp trai, dễ thương còn biết làm nũng của những người con gái lớn tuổi hơn dành cho một chàng trai ít tuổi hơn họ. *Trang bức: biểu thị những hành vi nhìn thì rất lợi hại, rất có thực lực nhưng thực chất là nhờ vào công cụ kỹ thuật hack. Ở đây nữ chính là nhờ có bàn tay vàng với tùy thân không gian.",10/08//2021,Chapter 233.1
205,Bánh Răng Thời Gian,"Action, Magical, Manhwa, Xuyên Không",Đang tiến hành,243736,140,4650,"Jeohun đang tham gia khóa học luật tại trường ưu tú Đại học Quốc gia Hàn Quốc. Để làm cho vấn đề tồi tệ hơn, cha tôi đã bị đánh và chạy…! Một vật thể lạ giống như la bàn lọt vào đôi mắt tuyệt vọng của anh ta! Đột nhiên một sứ giả tên là ‘Jun’ xuất hiện! Người ta nói rằng đứa cháu của Time Roulette mong muốn với sức mạnh của nó. Nhiệm vụ bất ngờ và thảm họa! Và bậc thầy của du hành thời gian, Karma! Liệu Junghoon có thể tìm ra manh mối của vụ tấn công và chạy tội phạm và thực hiện nhiệm vụ của mình một cách an toàn ?!",09/08//2021,Chapter 28
206,Wortenia Senki,"Action, Adventure, Chuyển Sinh, Fantasy, Harem, Martial Arts, Shounen",Đang tiến hành,2388462,733,16481,"Học sinh trung học Mikoshiba Ryouma bị triệu hồi đến 1 thế giới đang chìm trong chiến tranh. Cảm thấy ý định không tốt đẹp gì từ kẻ triệu hồi mình (1 triệu hồi sư của đế quốc O’ltormea), cậu đã giết chết một vài người quan trọng từ đế quốc trong lúc chạy trốn. Sau khi trốn thoát, cậu cứu 2 chị em sinh đôi từ 1 nhóm trộm cướp. Và từ đây cậu bắt đầu hành trình trở thành người thống trị!!",09/08//2021,Chapter 36
207,Phượng Nghịch Thiên Hạ,"Fantasy, Manhua, Mystery, Truyện Màu, Xuyên Không",Đang tiến hành,59319405,40605,61555,"Nàng, con gái duy nhất của trưởng công chúa, nhưng cả nước đều biết là phế vật
Khi đôi mắt trong trẻo nhưng lạnh lùng mở ra, nàng chính là thiên tài sát thủ nguy hiểm nhất thế kỷ 21
Phiên vân phúc vũ, lãnh khốc phúc khắc, quay đầu cười, thiên hạ phong vân loạn
Khi ma ốm tiểu thư bộc lộ tài năng kinh tài tuyệt thế
Vô số nam nữ trong thiên hạ ái mộ . . .
Hắn là tuyệt sắc ám dạ chi vương, lãnh huyết vô tình . . .
Gặp nàng trong thời loạn, cầm tiêu hợp tấu, sinh tử bên nhau",18/04/2022,Chapter 498
208,Kanon - Tận Cùng Của Tình Yêu.,"Drama, Manga, Psychological, Romance, Sci-fi, Seinen, Tragedy",Hoàn thành,165157,194,2224,"Trong một tương lai gần, do bị xâm chiếm bởi ‘Jelly’, những sinh vật ngoài hành tinh bí ẩn, đã gây thiệt hại nặng nề đến toàn bộ các bộ máy chức năng của Tokyo.Kouzuki Kanon, 23 tuổi. Một cô gái đã đem lòng yêu Sakai Sousuke, đàn anh của mình và bắt đầu có những hành vi theo dõi anh ngay từ thời còn học phổ thông, cả hai đã gặp lại nhau ngay tại một tiệm bánh kem nơi cô đang làm việc bán thời gian.
Sousuke sau khi tốt nghiệp phổ thông đã gia nhập và trở thành một thành viên trong đội tác chiến trực thuộc Ủy Ban Phòng Chống Sinh Vật Ngoài Hành Tinh (SLC), hằng ngày anh phải chiến đấu chống lại sự xâm lược của bè lũ ‘Jelly’. Mặt khác, Kanon dẫu đã bị từ chối tình cảm vẫn tiếp tục một lòng yêu đơn phương Sousuke, cô bắt đầu làm việc tại một tiệm bánh kem ngay gần trụ sở của SLC. Do biết rõ anh đang công tác ngay gần đó, lại biết rõ anh rất thích ăn đồ ngọt, chẳng mấy chốc nửa năm sau cô đã thành công trong việc gặp lại anh. Thế nhưng 8 năm trôi qua sau lần tỏ tình thất bại của cô, Sousuke nay đã kết hôn. Cảm thấy có một khoảng trống trong mối quan hệ với vợ mình,Sousuke đã tìm đến Kanon, và rồi cả hai dần sa vào một mối quan hệ bất chính.",08/08//2021,Chapter 30
209,Mối Tình Đầu Có Chút Ngọt,"Comedy, Manhua, Ngôn Tình, Romance, School Life, Shoujo, Truyện Màu",Đang tiến hành,1310794,826,6344,"Bạn có còn nhớ hương vị của mối tình đầu? Có thể bạn đã quên đi mối tình đầu, có thể bạn đã chôn chặt nó vào sâu trong tim. Cũng có thể lúc này đang trải qua mối tình đầu nhưng dù thế nào mối tình đầu luôn là ngọt ngào và hạnh phúc nhất, từng là mối tình đầu của người đó nhưng khi gặp lại nhau sẽ xảy ra những diễn biến gì….",08/08//2021,Chapter 43
210,Anh Dành Phần Đời Còn Lại Để Yêu Thương Em,"Manhua, Ngôn Tình, Shoujo, Truyện Màu",Đang tiến hành,11721,30,1495,"Mối tình đầu của anh lúc nhỏ đã cực khổ nhiều rồi, anh sẽ hết lòng dùng phần đời còn lại của mình để yêu thương em về lại bên anh",08/08//2021,Chapter 3
211,Mảnh ghép số phận,"Comedy, Romance, School Life, Seinen, Slice of Life",Đang tiến hành,1081287,400,3869,"Những tưởng mình là một tên lưu manh thứ dữ , ngay cả người khác cũng cho rằng Kazama Kenji đúng là như thế. Mọi chuyện luôn suôn sẻ cho anh đến khi băng của Kenji chạm mặt tứ quái Chitose, Sakura, Minami và Roka. Vừa chạm trán , anh chàng đã biết ngay danh tiếng của anh bấy lâu nay gây dựng chẳng thấm tháp so với những gì mà các cô nương quái chiêu gây ra cho anh khi Kenji lọt vào tầm ngắm của họ .
Bị bắt ép vào CLB của họ , rồi đời học sinh của chàng trai trẻ Kenji sẽ đi về đâu ?",08/08//2021,Chapter 121
212,Lovesick Ellie,"Comedy, Drama, Romance, School Life, Shoujo",Đang tiến hành,61118,52,1252,Một cô nàng viết tweet về bạn trai trong ảo tưởng và một anh chàng hai mặt đẹp trai. Tweet của cô vô tình bị anh ta phát hiện và câu chuyện tình yêu bắt đầu~,07/08//2021,Chapter 8
213,Team Medical Dragon - Y Đội Rồng,"Drama, Manga, Mature, Seinen",Đang tiến hành,1306459,259,1149,"Bác sĩ Katou là một phụ nữ tràn đầy tham vọng cải tổ lại toàn bộ hệ thống y dược kém hiệu quả và mục ruỗng của Nhật Bản từ bên trong lòng nó bằng cách trở thành một giáo sư tại một bệnh viện thuộc đại học y quốc gia. Cô tìm cách tiếp cận bác sĩ tự do Asada Ryuutarou nhằm nhanh chóng đạt được chức vị giáo sư bằng công trình nghiên cứu với sự giúp đỡ của Asada. Sự từ chối thỏa hiệp với hệ thống y dược của Asada khiến không chỉ kế hoạch mà sự nghiệp của cô cũng có nguy cơ tiêu tan. Katou bất chấp tất cả, kể cả việc thỏa hiệp để đạt được mục đích nhưng sự thối nát của cả hệ thống dần dần được bóc trần ra bởi những hành động của bác sĩ Asada đã khiến cô thực sự tự vấn lại mục tiêu của mình...",07/08//2021,Chapter 198
214,Hakata Tonkotsu Ramens,"Action, Adventure, Comedy, Gender Bender, Shounen",Đang tiến hành,78537,82,989,"Trong thành phố Fukuoka, tội phạm tồn tại trong thế giới ngầm dưới một bề mặt tưởng chừng như hòa bình. Ở quận Hakata của thành phố, có những cá nhân mang tài năng đặc biệt bao gồm những sát thủ chuyên nghiệp, thám tử, người cung cấp thông tin, và những người tìm kiếm trả thù chuyên nghiệp. Hơn nữa, theo một huyền thoại đô thị, một kẻ mang danh “Thợ săn Sát thủ” đã xuất hiện. Truyện được chuyển thể từ light novel cùng tên và đã có anime",07/08//2021,Chapter 12
215,Cửu Vực Ngọc Chi Thiên Nhãn Quật Khởi,"Action, Chuyển Sinh, Fantasy, Manhua, Truyện Màu",Đang tiến hành,14113,26,1444,"Khi Dương Tiểu Ất vượt qua bức tường pha lê, cơ thể của anh ấy bị phá hủy và anh ấy tái sinh trên trái đất, anh ấy đã vào học viện Tử vi để luyện tập. hệ thống thiên đường huyền bí và mạnh mẽ và lại bắt đầu bước đi Con đường tu tập. Và đoàn kết các cường quốc của Cửu giới để chiến đấu chống lại Quân đội Hủy diệt Thần độc ác.",07/08//2021,Chapter 5
216,Boku no Gemini,"Drama, Josei, Manga, Shoujo, Slice of Life",Đang tiến hành,124511,257,1763,"Câu chuyện về hai anh em sinh đổi Jekyll & Hyde và cậu bạn thân John. Một ngày kia, Jekyll qua đời, để lại cậu em trai Hyde một mình...",06/08//2021,Chapter 13
217,Osananajimi no Mama ja Iya?,"Comedy, Manga, Romance, School Life, Shounen, Slice of Life",Hoàn thành,295971,350,4686,Nếu bạn yêu phải một người lúc nào cũng đòi được làm mẹ mình thì sẽ ra sao?,06/08//2021,Chapter 25
218,Fantasy World Online,"Action, Adventure, Comedy, Fantasy, Gender Bender, Slice of Life",Đang tiến hành,80641,112,2304,"bộ này khá giống với OSO
FWO (Fantasy World Online) - Trò chơi VRMMO hành động đầu tiên trên thế giới. Thằng main của chúng ta đã chọn làm một Triệu hồi sư. Anh không quá tích cực săn quái hay cố gắng trở thành người chơi bá nhất mà chỉ muốn có một cuộc phiêu lưu tìm những bé quái dễ thương và vật liệu cho trang phục, cơ mà (bằng một cách nào đó) trong lúc không để ý thì anh đã trở thành một top Triệu hồi sư rồi.",05/08//2021,Chapter 8
219,The Student Council President Solves Everything On The Bed,"Comedy, Ecchi, Manga, Romance, School Life",Đang tiến hành,633336,289,5904,"Câu chuyện romcom nhẹ nhàng về hội trưởng Washimiya Hikari dễ thương,tài giỏi của hội học sinh, người giải quyết mọi vấn đề xảy ra trong trường ngay trên giường mà không cần ra ngoài.",05/08//2021,Chapter 8.5
220,Công Đức Ấn,"Manhua, Shoujo, Truyện Màu",Đang tiến hành,23660,19,619,"Theo như hợp đồng đã ký, chuyển thể từ tiểu thuyết cùng tên của tác giả Thanh Sam Yên Vũ, Hạ Thiên Đảo thừa chế. Sau hàng ngàn năm, nàng đã từng là nữ ma đầu mang trên lưng ấn kí công đức, khuyên nhủ giúp đỡ mọi người hướng thiện tích lũy công đức thì mới có con đường sống. Gặp được người đầu tiên, như thế nào lại gặp phải người xấu mang đầy giận dữ phẫn nộ đây. Dẫn dắt hắn hướng thiện. Quên đi, ta thà chết thêm một lần nữa thì hơn.",05/08//2021,Chapter 7
221,Huyễn Ma Chi Chiến,"Adventure, Fantasy, Martial Arts, Mystery, Truyện Màu",Đang tiến hành,9100,6,214,"Vào một thời đại không rõ, đạo nghĩa không còn, lòng người sa ngã. Người và Ma kết hợp thành một. Thế giới xuất hiện ma đầu tiên. Từ đây, ma đạo tung hoành, tàn hại sinh linh...",05/08//2021,Chapter 8
222,Natsu no Kakera,"Drama, Manga, One shot, Romance",Hoàn thành,73505,138,1068,"Tôi mải miết chạy trên con đường dài thẳng tắp...
Cùng những ngọn cỏ mùa hè xào xạc dưới chân...
Cùng làn gió nhẹ thổi qua từng kẽ tóc...
Cùng tà áo váy phất phơ không ngơi nghỉ...
Tôi chạy về phía người ấy...",25/02//2020,Chapter 5
223,Baki Gaiden: Kenjin,"Action, Manga, Martial Arts, Mature, Shounen",Đang tiến hành,47238,24,500,"Đây là truyện ngắn và ngoại truyện của Baki, chủ yếu là kể về hành trình và quá khứ của Doppo Orochi, bạn đồng hành của Baki sau này.",04/08//2021,Chapter 5
224,Mối tình tuổi thanh xuân,"Manga, Romance, School Life",Hoàn thành,2028210,476,4783,"Yoshioka Futaba có một vài lý do mà cô bạn muốn ""thiết lập lại"" hình ảnh và cuộc sống của mình khi vào cấp 3. Bởi vì trông cô rất dễ thương nên đã bị các bạn nữ ở trường cấp 2 tẩy chay, và bởi vì một lý do không thể hiểu được, cô bạn đã không thể diễn tả được cảm xúc của mình với người mà mình thích, Tanaka-kun.Bây giờ ở trường cấp 3, cô bạn quyết định trở nên mất nữ tính càng nhiều càng tốt để bạn bè không phải ghen tị với cô. Khi sống theo 1 cách thật thỏa mãn, cô đã gặp lại Tanaka-kun, nhưng bây giờ cậu đã đổi tên thành Mabuchi Koi. Cậu ấy cũng nói ra cảm giác của mình đối với cô bạn khi còn học cấp 2, nhưng bây giờ mọi thứ không thể lặp lại lần nữa. Liệu Futaba có thể tiếp tục tình yêu của mình mà cô bạn đã chưa bao giờ có thể bắt đầu từ 3 năm trước?",04/08//2021,Chapter 49
225,Saber-san chơi FGO!,"Comedy, Doujinshi",Đang tiến hành,7840,32,262,"Đây là doujinshi Fate/Stay Night của tác giả tsukumo nói về các nhân vật trong Fate/Stay Night, thay vì oánh đấm nhau thì họ cùng nhau chơi Fate/Grand Order - một game smartphone Android/iOS nổi tiếng. Nhân vật chính vẫn là Saber-san aka Artoria Pendragon aka Cụt của chúng ta!*Hèm* Manga này chủ yếu nói về Fate/Grand Order nên những bạn nào có chơi thì mới hiểu được nhé Tiến độ của bộ này là 1-3 tháng một vol. Tùy vào tác giả.",03/08//2021,Chapter 51
226,Đỉnh Cấp Phản Phái Đại Sư Huynh,"Action, Adventure, Manhua, Truyện Màu",Đang tiến hành,3570174,784,13132,,03/08//2021,Chapter 90
227,Sinh vật đen tối,"Action, Manhwa, Martial Arts, Truyện Màu",Đang tiến hành,3597850,1224,14334,,03/08//2021,Chapter 78
228,Silver Plan To Redo From Jk,"Drama, Manga, Slice of Life",Đang tiến hành,76561,89,1805,"Ông của cô là một chính trị gia, và cha cô là một chủ sở hữu bất động sản.Ninomiya Sayuri là một cô gái trẻ kiêu ngạo, người đã đạt đến đỉnh cao của quyền lực và sự giàu có trong thời kỳ bong bóng. Tuy nhiên, tất cả đã sụp đổ cùng với sự sụp đổ của bong bóng. Cuối cùng, cô trở thành một người vô gia cư trung niên. Một ngày nọ, một tên tội phạm đã ném một hòn đá nhằm vào cô. Chỉ cần Sayuri nghĩ rằng cô đã chết trong khi bám lấy hạnh phúc trong quá khứ, bằng cách nào đó, cô đã nhảy vào thời của thời trung học. ..!?",03/08//2021,Chapter 11
229,Tiếng Sói Trong Hiệu Thuốc,"Drama, Josei, Manhwa, Romance, Truyện Màu, Webtoon",Đang tiến hành,94922,35,1976,"Khi còn là một thiếu niên, Sooji đã rất đau lòng khi nhóm nhạc thần tượng yêu thích của cô LUPUS tan rã, do thành viên phản bội Jackie đã rời bỏ. Mười năm sau, Sooji đã trở thành một dược sĩ tham công tiếc việc, người chỉ muốn có một cuộc sống ổn định, có thể đoán trước được. Nhưng cô đã bị xoay vòng khi cô ấy đột nhiên gặp Jackie - tại một nơi trú ẩn cho động vật. Sau khi biết rằng anh ấy có kế hoạch trở lại showbiz, Sooji đã rất tức giận và gây chiến với anh ấy ... bắt đầu đi sâu vào những thăng trầm chưa kể của LUPUS và các thành viên của nhóm. Điều gì thực sự đã xảy ra đằng sau hậu trường của Jackie những năm trước, và liệu Sooji, bây giờ đang trên đường tìm hiểu, có thể sống sót trên con đường trở thành ngôi sao?",03/08//2021,Chapter 24.2
